,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
349824,Larceny,D14,2016,4,6,13,42.34896638,-71.1583436
349831,Larceny,B2,2016,4,6,14,42.31872544,-71.07567087
349840,Larceny,D4,2016,4,6,14,42.34442266,-71.09833083
349849,Larceny,D4,2016,4,5,23,42.34295335,-71.08833139
349851,Larceny,E5,2016,4,6,13,42.32696647,-71.06198607
349852,Larceny,B2,2016,4,6,13,42.30938437,-71.08262277
349890,Larceny,D4,2016,4,6,10,42.35095909,-71.0741278
349913,Larceny,A1,2016,4,5,12,42.36170396,-71.06697339
349952,Larceny,C11,2016,4,6,2,42.29919694,-71.06046974
349985,Larceny,B3,2016,4,5,23,42.28848549,-71.08147836
349986,Larceny,B3,2016,4,5,23,42.28848549,-71.08147836
350009,Larceny,E13,2016,4,5,21,42.32283759,-71.10096723
350021,Larceny,D4,2016,4,5,20,42.335007,-71.075067
350023,Larceny,A1,2016,4,5,21,42.35420018,-71.06185184
350024,Larceny,A1,2016,4,5,21,42.35754620000001,-71.05881953
350025,Larceny,A1,2016,4,5,21,42.35754620000001,-71.05881953
350037,Larceny,C6,2016,4,5,20,42.32082017,-71.06010572
350043,Larceny,A1,2016,4,5,20,42.35648631,-71.05928145
350066,Larceny,D4,2016,4,5,16,42.335482,-71.07586449
350069,Larceny,C6,2016,4,5,17,42.34599341,-71.03694911
350079,Larceny,E18,2016,4,5,18,42.25524883,-71.13082162
350083,Larceny,B3,2016,4,5,15,42.29490954,-71.09019249
350098,Larceny,A7,2016,3,4,18,42.38093345,-71.04023929
350100,Larceny,B3,2016,3,5,0,42.27796370000001,-71.09246318
350101,Larceny,D4,2016,3,6,16,42.34468541,-71.0668795
350107,Larceny,E13,2016,4,5,16,42.31301165,-71.11330596
350169,Larceny,D14,2016,4,5,14,42.35393493,-71.13652595
350177,Larceny,D4,2016,4,5,12,42.34862382,-71.08277637
350184,Larceny,B2,2016,4,5,10,42.33139659,-71.08232496
350192,Larceny,A1,2016,4,5,12,42.35739591,-71.07008873
350208,Larceny,A1,2016,4,5,12,42.35478783,-71.06123562
350212,Larceny,B2,2016,4,5,11,42.33009028,-71.08202213
350232,Larceny,B2,2016,4,5,11,42.30938437,-71.08262277
350265,Larceny,B2,2016,4,5,8,42.37620267,-71.03979926
350278,Larceny,C11,2016,3,4,20,42.28657535,-71.06153370000001
350280,Larceny,E13,2016,4,5,7,42.30307413,-71.11081856
350329,Larceny,A1,2016,3,4,21,42.35456417,-71.05926038
350359,Larceny,D4,2016,3,1,21,42.34280177,-71.10069509999998
350376,Larceny,A1,2016,3,4,18,42.35942556,-71.05288819
350377,Larceny,B2,2016,3,4,19,42.328897600000005,-71.09359501
350378,Larceny,E18,2016,3,4,6,42.24383959,-71.12160124
350392,Larceny,B2,2016,3,4,19,42.30845311,-71.08718664
350406,Larceny,A1,2016,3,4,17,42.36109742,-71.06206081
350408,Larceny,A1,2016,3,4,6,42.34997256,-71.06348817
350409,Larceny,D14,2016,3,3,18,42.35115388,-71.11703179
350415,Larceny,B3,2016,3,4,17,42.28716674,-71.07633479
350422,Larceny,B3,2016,3,4,16,42.26820198,-71.09367344
350424,Larceny,D4,2016,3,4,15,42.34749899,-71.07925506
350432,Larceny,E18,2016,3,4,16,42.24124926,-71.12629908
350439,Larceny,D14,2016,3,2,10,42.33878962,-71.1497772
350441,Larceny,A1,2016,3,4,16,42.35426247,-71.05883334
350442,Larceny,E13,2016,3,4,16,42.32665471,-71.10679596
350452,Larceny,A1,2016,3,4,15,42.3649755,-71.062044
350489,Larceny,A1,2016,3,4,11,42.35512339,-71.0608798
350514,Larceny,E5,2016,3,2,11,42.28251404,-71.15747905
350529,Larceny,C6,2016,3,4,11,42.33374643,-71.07020353
350544,Larceny,E18,2016,3,4,10,42.24124926,-71.12629908
350563,Larceny,A15,2016,3,3,18,42.37495072,-71.05758472
350629,Larceny,D4,2016,3,3,21,42.353145500000004,-71.07763936
350646,Larceny,D4,2016,3,3,21,42.34353469,-71.09980109
350647,Larceny,D4,2016,3,3,21,42.34353469,-71.09980109
350650,Larceny,D4,2016,3,3,21,42.34353469,-71.09980109
350715,Larceny,B3,2016,2,2,12,42.28464725,-71.09473285
350720,Larceny,B2,2016,3,2,9,42.32572097,-71.08220072
